"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_2x20_Pitch2.54mm";1;"PI-CON";;;
2;"J1";"IDC-Header_2x08_Pitch2.54mm_Straight";1;"HUB08";;;
3;"D1,D2";"LED_0805";2;"LED";;;
4;"J3";"IDC-Header_2x08_Pitch2.54mm_Straight";1;"HUB75";;;
5;"J4";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Conn_02x03_Odd_Even";;;
6;"U2,U3";"TSSOP-20_4.4x6.5mm_Pitch0.65mm";2;"74HCX245";;;
7;"Y1";"Crystal_HC49-4H_Vertical";1;"8 MHz";;;
8;"U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"CAT24C32";;;
9;"J11";"Test_Point_Pad_d1.0mm";1;"T6";;;
10;"J12";"Test_Point_Pad_d1.0mm";1;"T7";;;
11;"J13";"Test_Point_Pad_2.0x2.0mm";1;"T8";;;
12;"J14";"Test_Point_Pad_2.0x2.0mm";1;"T9";;;
13;"J15";"Test_Point_Pad_2.0x2.0mm";1;"T10";;;
14;"J16";"Test_Point_Pad_2.0x2.0mm";1;"T11";;;
15;"J18";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03";;;
16;"U1";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F401RETx";;;
17;"C1,C4,C5,C6,C7,C8,C9,C10";"C_0603";8;"100nF";;;
18;"C2,C3";"C_0603";2;"20p";;;
19;"R2,R4";"R_0603";2;"510R";;;
20;"R3,R10";"R_0603";2;"0R";;;
21;"R5,R6";"R_0603";2;"100K";;;
22;"R7,R8";"R_0603";2;"3K9";;;
23;"R9";"R_0603";1;"1K";;;
24;"SW1";"SW_SPST_SKQG";1;"SW_Push";;;
25;"C11";"C_0603";1;"4.7uF";;;
26;"C12";"C_0603";1;"10uF";;;
27;"J6";"H2-3.5-7.0X7.0MM";1;"SCREW-TERMINAL-GREEN_2P-3.5_";;;
28;"R1";"R_0603";1;"220R";;;
29;"J5";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"Conn_01x05";;;
30;"Q1";"SOT-23";1;"SMD-MOSFET-P-CH-8V-4.1A-CJ2305_SOT-23_";;;
31;"R11";"R_0603";1;"10K";;;
32;"R12";"R_0603";1;"47K";;;
33;"U5";"SOT-23-6";1;"DMMT5401";;;
